Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0603,118.552,-82.296,0.0,top
C2,22uF,C_0603,118.552,-85.918,0.0,top
D1,Green,D_0805,113.294,-85.41,90.0,top
D2,Green,D_0805,123.708,-85.41,90.0,top
Q1,2SA812,Q_SOT-23,116.342,-79.06,90.0,top
Q2,2SA812,Q_SOT-23,120.66,-79.06,90.0,top
R1,100Ω,R_0805,113.294,-81.346,-90.0,top
R2,100Ω,R_0805,123.708,-81.346,-90.0,top
R3,100kΩ,R_0805,115.58,-83.378,-90.0,top
R4,100kΩ,R_0805,121.422,-83.378,-90.0,top
S1,"Tactile Button, 160gf",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,106.04,-82.582,0.0,top
